save_bit,fc_state,time,accX,accY,accZ,gyroX,gyroY,gyroZ,magX,magY,magZ,imut,pres,temp,accXconv,accYconv,accZconv,gyroXconv,gyroYconv,gyroZconv,rollDeg,pitchDeg,rollRate,pitchRate,velo,velo_x,velo_y,velo_z,pos,alt,bvelo,altg,speedg,utc_time,long,lat,ns,ew,gll_s,rmc_s,feedback
1,3,0.009,0.03828183413443199,0.6412207217517358,10.034625772487985,0.6103608758678569,-0.12207217517357138,0.12207217517357138,0,0,0,0,96925.6328125,36.70881271362305,0.043918851763010025,0.0837857723236084,-0.04520606994628906,0.3866635859012604,0.12524551153182983,0.358648419380188,-0.4947797656059265,0.004481485579162836,0.3878116011619568,0.2805250883102417,0.0,0.0,0.0,0.0,0.0,404.380126953125,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.022,0.014355687800411996,0.6364354924849318,10.08726329442283,0.24414435034714277,-0.36621652552071415,0.0,0,0,0,0,96923.0,36.69952392578125,0.019992705434560776,0.07900053262710571,0.007431983947753906,0.020447060465812683,-0.11889882385730743,0.23657624423503876,0.09379905462265015,0.0020400690846145153,0.02090485207736492,-0.14053426682949066,0.0,0.0,0.0,0.0,0.0,404.6173400878906,-inf,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.035,0.04785229266803998,0.6125093461509118,10.12554512855726,0.0,-0.30518043793392846,-0.06103608758678569,0,0,0,0,96923.0,36.69952392578125,0.053489308804273605,0.05507439374923706,0.04571342468261719,-0.22369727492332458,-0.057862743735313416,0.17554016411304474,0.6927858591079712,0.00545803876593709,-0.2231617420911789,-0.15663820505142212,0.0,0.0,0.0,0.0,0.0,404.6173400878906,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.048,0.03349660486762799,0.6029388876173037,10.11118944075685,-0.30518043793392846,-0.18310826276035708,0.06103608758678569,0,0,0,0,96923.4453125,36.70417022705078,0.039133623242378235,0.04550391435623169,0.031357765197753906,-0.5288777351379395,0.06420943140983582,0.29761233925819397,0.6033881902694702,0.003993205260485411,-0.5277536511421204,-0.11600466072559357,0.0,0.0,0.0,0.0,0.0,404.58062744140625,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.062,0.05263752193484398,0.6316502632181278,10.072907606622417,-0.36621652552071415,-0.06103608758678569,-0.06103608758678569,0,0,0,0,96926.21875,36.70881271362305,0.058274541050195694,0.07421529293060303,-0.006923675537109375,-0.5899137854576111,0.18628160655498505,0.17554016411304474,-0.09302251785993576,0.005946311168372631,-0.5889773368835449,0.20178188383579254,0.0,0.0,0.0,0.0,0.0,404.3248596191406,-inf,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.075,0.057422751201647984,0.5646570534828718,10.015484855420768,-0.06103608758678569,-0.36621652552071415,-0.6103608758678569,0,0,0,0,96926.21875,36.70881271362305,0.06305976957082748,0.007222115993499756,-0.0643472671508789,-0.2847333550453186,-0.11889882385730743,-0.373784601688385,-1.4590275287628174,0.006434581242501736,-0.28424131870269775,-0.3847138285636902,0.0,0.0,0.0,0.0,0.0,404.3248596191406,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.088,0.03349660486762799,0.5933684290836958,10.06333714808881,0.12207217517357138,-0.42725261310749985,-0.42725261310749985,0,0,0,0,96928.703125,36.71345901489258,0.039133623242378235,0.035933494567871094,-0.0164947509765625,-0.10162510722875595,-0.17993490397930145,-0.19067634642124176,-0.430342435836792,0.003993205260485411,-0.102017343044281,-0.24307569861412048,0.0,0.0,0.0,0.0,0.0,404.09722900390625,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.101,-0.004785229266803998,0.5981536583504998,10.08726329442283,0.36621652552071415,-0.24414435034714277,-0.48828870069428554,0,0,0,0,96924.3203125,36.70417022705078,0.000851786695420742,0.04071873426437378,0.007431983947753906,0.14251923561096191,0.003173351287841797,-0.251712441444397,0.1805327981710434,8.691701077623293e-05,0.14249776303768158,0.04831768572330475,0.0,0.0,0.0,0.0,0.0,404.49822998046875,inf,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.114,-0.009570458533607997,0.6125093461509118,10.072907606622417,0.18310826276035708,0.0,0.18310826276035708,0,0,0,0,96924.3203125,36.70417022705078,-0.003933442756533623,0.05507439374923706,-0.006923675537109375,-0.040589019656181335,0.24731768667697906,0.419684499502182,-0.12505890429019928,-0.0004013716825284064,-0.04074377194046974,0.297734797000885,0.0,0.0,0.0,0.0,0.0,404.49822998046875,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
1,3,0.127,0.019140917067215994,0.6364354924849318,10.068122377355612,0.18310826276035708,-0.12207217517357138,-0.18310826276035708,0,0,0,0,96924.765625,36.69952392578125,0.024777933955192566,0.07900053262710571,-0.011709213256835938,-0.040589019656181335,0.12524551153182983,0.05346798896789551,-0.147145614027977,0.002528355224058032,-0.04050172120332718,0.1317312866449356,0.0,0.0,0.0,0.0,0.0,404.450439453125,nan,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,
